1004554559-e0ab | http://is14.auto.ru/all/images/bb/2c/60x45/bb2c4a60.jpg |  Hyundai Getz1.4 MT (97 л.с.)  | #FF0000 | 299 000 |  2007  |  85 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Ярославль | 17.12.14
1002281151-b66b49 | http://is13.auto.ru/all/images/32/95/60x45/32952111.jpg |  Hyundai Getz1.4 AT (97 л.с.)  | #CACECB | 345 000 |  2008  |  77 000 км  |  1.4 AT (97 л.с.)хэтчбек, бензин, передний  | Обнинск | 18.12.14
1005244511-437a7e | http://is13.auto.ru/all/images/b4/af/60x45/b4afe8a7.jpg |  Hyundai Getz1.6 AT (105 л.с.)  | #0000FF | 335 000 |  2007  |  68 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Саранск | 18.12.14
1005322033-45b84 | http://is6.auto.ru/all/images/e3/34/60x45/e334f21b.jpg |  Hyundai Getz1.1 MT (62 л.с.)  | #0088ff | 290 000 |  2010  |  81 000 км  |  1.1 MT (62 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 19.12.14
1005236425-cfaf9 | http://is17.auto.ru/all/images/60/d1/60x45/60d132b8.jpg |  Hyundai Getz1.4 AT (97 л.с.)  | #FFCC00 | 340 000 |  2007  |  77 800 км  |  1.4 AT (97 л.с.)хэтчбек, бензин, передний  | Брянск | 19.12.14
1005579295-d04e15 | http://is16.auto.ru/all/images/35/2e/60x45/352e0bbe.jpg |  Hyundai Getz1.4 MT (97 л.с.)  | #34ba2b | 245 000 |  2006  |  105 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Ворсма | 23.12.14
1005580611-9a07 | http://is9.auto.ru/all/images/87/a4/60x45/87a4981d.jpg |  Hyundai Getz1.4 MT (97 л.с.)  | #CACECB | 270 000 |  2008  |  145 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Москва | 23.12.14
1005585221-83da5f | http://is16.auto.ru/all/images/9a/9e/60x45/9a9ef7ba.jpg |  Hyundai Getz1.6 AT (105 л.с.)  | #FFCC00 | 299 000 |  2006  |  118 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Вольск | 23.12.14
1005586861-021a | http://is2.auto.ru/all/images/22/b1/60x45/22b18a66.jpg |  Hyundai Getz1.4 MT (97 л.с.)  | #34ba2b | 300 000 |  2006  |  100 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Москва | 23.12.14
1005587531-bdc2 | http://is8.auto.ru/all/images/8c/a3/60x45/8ca3fe51.jpg |  Hyundai Getz1.4 AT (97 л.с.)  | #34ba2b | 390 000 |  2005  |  67 000 км  |  1.4 AT (97 л.с.)хэтчбек, бензин, передний  | Зеленоград | 23.12.14
1005589277-250d11 | http://is16.auto.ru/all/images/6c/2c/60x45/6c2c8b79.jpg |  Hyundai Getz1.4 MT (97 л.с.)  | #000000 | 340 000 |  2007  |  110 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Таганрог | 24.12.14
1005631537-4323 | http://is2.auto.ru/all/images/b7/2e/60x45/b72e9c49.jpg |  Hyundai Getz1.4 MT (97 л.с.)  | #CACECB | 320 000 |  2008  |  50 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Челябинск | 24.12.14
1005633493-0bb654 | /i/all7/img/no-photo-thumb.gif |  Hyundai Getz1.4 MT (97 л.с.)  | #FF0000 | 300 000 Правый руль |  2005  |  98 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Новочебоксарск | 24.12.14
1004770987-bb71 | http://is2.auto.ru/all/images/74/96/60x45/7496c926.jpg |  Hyundai Getz1.4 MT (97 л.с.)  | #ffefd5 | 229 000 |  2005  |  122 340 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Москва | 24.12.14
1005640163-0455 | http://is14.auto.ru/all/images/99/56/60x45/9956d38a.jpg |  Hyundai Getz1.3 MT (82 л.с.)  | #FF0000 | 200 000 |  2003  |  100 000 км  |  1.3 MT (82 л.с.)хэтчбек, бензин, передний  | Кострома | 24.12.14
1005644211-ea78 | http://is14.auto.ru/all/images/03/8e/60x45/038ed71a.jpg |  Hyundai Getz1.4 MT (97 л.с.)  | #0000FF | 250 000 |  2006  |  112 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Москва | 24.12.14
1005648601-50d28 | http://is12.auto.ru/all/images/d3/78/60x45/d378e450.jpg |  Hyundai Getz1.3 MT (82 л.с.)  | #000000 | 235 000 |  2004  |  120 000 км  |  1.3 MT (82 л.с.)хэтчбек, бензин, передний  | Липецк | 24.12.14
1005648915-b9b6 | http://is15.auto.ru/all/images/0b/48/60x45/0b48c7d5.jpg |  Hyundai Getz1.4 MT (97 л.с.)  | #CACECB | 309 000 |  2009  |  69 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Воронеж | 24.12.14
1005580567-499d | http://is16.auto.ru/all/images/e4/51/60x45/e451e1c5.jpg |  Hyundai Getz1.3 AT (82 л.с.)  | #9c9999 | 280 000 |  2004  |  97 000 км  |  1.3 AT (82 л.с.)хэтчбек, бензин, передний  | Троицк | 24.12.14
1005649531-90df3f | http://is12.auto.ru/all/images/88/cc/60x45/88cc0540.jpg |  Hyundai Getz1.4 AT (97 л.с.)  | #34ba2b | 400 000 |  2010  |  34 000 км  |  1.4 AT (97 л.с.)хэтчбек, бензин, передний  | Москва | 24.12.14
