1007299689-879c3b | http://is9.auto.ru/all/images/13/29/60x45/13291303.jpg |  ВАЗ 21151.5 MT  | #000000 | 228 900 |  2009  |  60 000 км  |  1.5 MTседан, бензин, передний  | Тула | 23.01.15
1007295869-c2eb5 | http://is5.auto.ru/all/images/8a/49/60x45/8a49a920.jpg |  ВАЗ 2115 2115-201.5 MT (78 л.с.)  | #34ba2b | 55 000 |  2001  |  130 000 км  |  1.5 MT (78 л.с.)седан, бензин, передний  | Орехово-Зуево | 23.01.15
1007299379-53a8f5 | http://is7.auto.ru/all/images/f3/64/60x45/f3643fb7.jpg |  ВАЗ 2115 2115-401.6 MT (81 л.с.)  | #0000FF | 189 000 |  2012  |  18 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007299329-2221fd | http://is5.auto.ru/all/images/0c/2c/60x45/0c2c992b.jpg |  ВАЗ 2115 2115-201.5 MT (78 л.с.)  | #000000 | 89 000 |  2006  |  114 000 км  |  1.5 MT (78 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007283567-9c5f | http://is6.auto.ru/all/images/87/67/60x45/876723ba.jpg |  ВАЗ 2115 2115-401.6 MT (81 л.с.)  | #FFFFFF | 185 000 |  2011  |  67 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007299249-7086 | http://is12.auto.ru/all/images/7b/9f/60x45/7b9fcbf3.jpg |  ВАЗ 2115 211541.6 MT (80 л.с.)  | #000000 | 125 000 |  2008  |  89 000 км  |  1.6 MT (80 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007227345-d5a4 | http://is11.auto.ru/all/images/98/e8/60x45/98e81a6b.jpg |  ВАЗ 2115 2115-201.5 MT (78 л.с.)  | #34ba2b | 73 000 |  2003  |  150 000 км  |  1.5 MT (78 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007112341-d683 | http://is18.auto.ru/all/images/06/69/60x45/0669bf89.jpg |  ВАЗ 21151.5 MT (76 л.с.)  | #0000FF | 135 000 |  2005  |  120 000 км  |  1.5 MT (76 л.с.)седан, бензин, передний  | Курск | 23.01.15
1001890755-17336 | http://is16.auto.ru/all/images/ec/5d/60x45/ec5d9845.jpg |  ВАЗ 2115 211541.6 MT (80 л.с.)  | #9c9999 | 110 000 |  2007  |  171 000 км  |  1.6 MT (80 л.с.)седан, бензин, передний  | Навля | 23.01.15
1007296893-0eb96 | http://is18.auto.ru/all/images/c0/79/60x45/c0794ff9.jpg |  ВАЗ 2115 2115-201.5 MT (78 л.с.)  | #9c9999 | 114 000 |  2002  |  64 850 км  |  1.5 MT (78 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007238481-4e5f | http://is11.auto.ru/all/images/8f/97/60x45/8f970006.jpg |  ВАЗ 2115 21151.5 MT (76 л.с.)  | #9c9999 | 120 000 |  2000  |  121 121 км  |  1.5 MT (76 л.с.)седан, бензин, передний  | Ростов-на-Дону | 23.01.15
1005241617-ff9c72 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2115 2115-201.5 MT (78 л.с.)  | #FFC0CB | 130 680 |  2006  |  94 500 км  |  1.5 MT (78 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007297779-c57f2 | http://is6.auto.ru/all/images/e3/99/60x45/e399a972.jpg |  ВАЗ 2115 211541.6 MT (80 л.с.)  | #9c9999 | 110 000 |  2007  |  150 000 км  |  1.6 MT (80 л.с.)седан, бензин, передний  | Химки | 23.01.15
1007297685-41c5 | http://is17.auto.ru/all/images/3f/e0/60x45/3fe0eaa3.jpg |  ВАЗ 2115 2115-201.5 MT (78 л.с.)  | #9c9999 | 80 000 |  2001  |  180 км  |  1.5 MT (78 л.с.)седан, бензин, передний  | Богданович | 23.01.15
1007295935-5ba37 | http://is11.auto.ru/all/images/03/66/60x45/0366f6ed.jpg |  ВАЗ 21151.6 MT (100 л.с.)  | #0000FF | 110 000 |  2005  |  89 700 км  |  1.6 MT (100 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007236333-dddc1a | http://is5.auto.ru/all/images/9a/1f/60x45/9a1fdec0.jpg |  ВАЗ 2115 2115-201.5 MT (78 л.с.)  | #CACECB | 135 000 |  2006  |  130 000 км  |  1.5 MT (78 л.с.)седан, бензин, передний  | Калуга | 23.01.15
1007296239-57a096 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2115 2115-201.5 MT (78 л.с.)  | #CACECB | 60 000 |  2001  |  160 000 км  |  1.5 MT (78 л.с.)седан, бензин, передний  | Курган | 23.01.15
1006871613-06abe1 | http://is7.auto.ru/all/images/10/10/60x45/1010220b.jpg |  ВАЗ 2115 2115-401.6 MT (81 л.с.)  | #9c9999 | 188 000 |  2011  |  42 300 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Тула | 23.01.15
1007295851-a028c | http://is10.auto.ru/all/images/dc/bb/60x45/dcbbf2d7.jpg |  ВАЗ 2115 2115-401.6 MT (81 л.с.)  | #9c9999 | 195 000 |  2011  |  47 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Клин | 23.01.15
1007295689-945f1e | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2115 2115-401.6 MT (81 л.с.)  | #000000 | 150 000 |  2009  |  59 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Чистополь | 23.01.15
