49744469-1a3d2e | http://is14.auto.ru/all/images/85/f5/60x45/85f57462.jpg |  Renault Megane II1.6 AT (115 л.с.)  | #000000 | 365 000 |  2007  |  71 000 км  |  1.6 AT (115 л.с.)седан, бензин, передний  | Обнинск | 13.11.14
335390-9c4e7 | http://is2.auto.ru/all/images/b4/f1/60x45/b4f14f34.jpg |  Renault Megane II Рестайлинг1.5d MT (100 л.с.)  | #0000FF | 420 000 |  2008  |  90 000 км  |  1.5d MT (100 л.с.)хэтчбек, дизель, передний  | Нижний Новгород | 18.12.14
134364-b2cb | http://is9.auto.ru/all/images/90/09/60x45/9009c2be.jpg |  Renault Megane III1.5d MT (106 л.с.)  | #000000 | 490 000 |  2009  |  141 000 км  |  1.5d MT (106 л.с.)хэтчбек, дизель, передний  | Нижний Новгород | 18.12.14
1005382459-39c03e | http://is17.auto.ru/all/images/a8/78/60x45/a878ffd4.jpg |  Renault Megane III1.5d MT (86 л.с.)  | #ffefd5 | 443 000 |  2010  |  120 000 км  |  1.5d MT (86 л.с.)хэтчбек, дизель, передний  | Липецк | 20.12.14
1005504687-e0e0b | http://is8.auto.ru/all/images/f6/52/60x45/f6523931.jpg |  Renault Megane II Рестайлинг1.6 AT (115 л.с.)  | #ffefd5 | 355 000 |  2008  |  60 000 км  |  1.6 AT (115 л.с.)седан, бензин, передний  | Тула | 22.12.14
15025354-c398a | http://is12.auto.ru/all/images/51/e6/60x45/51e6b4e3.jpg |  Renault Megane II1.6 AT (115 л.с.)  | #000000 | 275 000 |  2006  |  90 000 км  |  1.6 AT (115 л.с.)седан, бензин, передний  | Великий Новгород | 22.12.14
1005520537-ef79 | http://is7.auto.ru/all/images/99/75/60x45/99759fa5.jpg |  Renault Megane II1.6 MT (115 л.с.)  | #9c9999 | 290 000 |  2006  |  205 000 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.12.14
41330828-7d6c | http://is11.auto.ru/all/images/ff/22/60x45/ff22e474.jpg |  Renault Megane III1.5d MT (90 л.с.)  | #9c9999 | 529 000 |  2009  |  77 523 км  |  1.5d MT (90 л.с.)универсал, дизель, передний  | Владимир | 23.12.14
47352118-825e | http://is10.auto.ru/all/images/c0/a5/60x45/c0a50014.jpg |  Renault Megane III1.5d MT (110 л.с.)  | #ffefd5 | 585 000 |  2010  |  73 320 км  |  1.5d MT (110 л.с.)универсал, дизель, передний  | Владимир | 23.12.14
41331102-bccaa4 | http://is5.auto.ru/all/images/d9/10/60x45/d910aed6.jpg |  Renault Megane III1.5d MT (110 л.с.)  | #000000 | 599 000 |  2010  |  72 236 км  |  1.5d MT (110 л.с.)универсал, дизель, передний  | Владимир | 23.12.14
41330914-855c9 | http://is8.auto.ru/all/images/1a/83/60x45/1a83758c.jpg |  Renault Megane III1.5d MT (110 л.с.)  | #9c9999 | 599 000 |  2010  |  72 948 км  |  1.5d MT (110 л.с.)универсал, дизель, передний  | Владимир | 23.12.14
