1004154277-09a7 | http://is13.auto.ru/all/images/df/34/60x45/df34a566.jpg |  Chevrolet Niva I1.7 MT (80 л.с.) 4WD  | #FFCC00 | 260 000 |  2005  |  65 000 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Иваново | 02.12.14
47120148-d3849 | http://is11.auto.ru/all/images/44/f8/60x45/44f830c5.jpg |  Chevrolet Niva I1.7 MT (80 л.с.) 4WD  | #9c9999 | 238 000 |  2008  |  138 700 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Обнинск | 03.12.14
1001966337-10697 | http://is4.auto.ru/all/images/9e/82/60x45/9e829adc.jpg |  Chevrolet Niva I1.7 MT (80 л.с.) 4WD  | #000000 | 233 999 |  2008  |  81 000 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Череповец | 09.12.14
1004421777-d8e2 | http://is14.auto.ru/all/images/8a/c5/60x45/8ac5aed2.jpg |  Chevrolet Niva I1.7 MT (80 л.с.) 4WD  | #9c9999 | 329 000 |  2009  |  69 000 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Ярославль | 17.12.14
1004712275-c85771 | /i/all7/img/no-photo-thumb.gif |  Chevrolet Niva I Рестайлинг1.7 MT (80 л.с.) 4WD  | #926547 | 520 000 |  2013  |  28 240 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Тюмень | 18.12.14
1004222941-4ea0 | http://is4.auto.ru/all/images/48/cb/60x45/48cb5742.jpg |  Chevrolet Niva I Рестайлинг1.7 MT (80 л.с.) 4WD  | #CACECB | 419 000 |  2011  |  59 099 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 18.12.14
1005394935-7f67f | http://is4.auto.ru/all/images/a2/ff/60x45/a2ff8dd4.jpg |  Chevrolet Niva I Рестайлинг1.7 MT (80 л.с.) 4WD  | #9966CC | 285 000 |  2009  |  87 000 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Мурманск | 20.12.14
33203962-bacaa | http://is15.auto.ru/all/images/23/8a/60x45/238ac0ef.jpg |  Chevrolet Niva I Рестайлинг1.7 MT (80 л.с.) 4WD  | #FFFFFF | 420 000 |  2013  |  33 521 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Сургут | 22.12.14
1003000594-6e93f9 | http://is10.auto.ru/all/images/48/2c/60x45/482c997c.jpg |  Chevrolet Niva I1.7 MT (80 л.с.) 4WD  | #CACECB | 259 000 |  2009  |  80 000 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Великий Новгород | 22.12.14
1002156173-1382ec | http://is1.auto.ru/all/images/e4/63/60x45/e463c330.jpg |  Chevrolet Niva I Рестайлинг1.7 MT (80 л.с.) 4WD  | #9c9999 | 430 000 |  2012  |  56 000 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Ростов-на-Дону | 22.12.14
1003692938-93f29 | http://is3.auto.ru/all/images/55/8c/60x45/558c8918.jpg |  Chevrolet Niva I1.7 MT (80 л.с.) 4WD  | #9c9999 | 289 000 |  2008  |  70 000 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Рязань | 23.12.14
1005575789-cdf07 | http://is17.auto.ru/all/images/4e/d8/60x45/4ed8b7e2.jpg |  Chevrolet Niva I Рестайлинг1.7 MT (80 л.с.) 4WD  | #FFFFFF | 374 000 |  2014  |  1 234 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Нижний Новгород | 23.12.14
