1007299649-fa1a6 | http://is18.auto.ru/all/images/ef/79/60x45/ef79ccb9.jpg |  ВАЗ 21099 21099-201.5 MT (78 л.с.)  | #CACECB | 110 000 |  2002  |  150 000 км  |  1.5 MT (78 л.с.)седан, бензин, передний  | Покров | 23.01.15
1007248913-4eef94 | http://is13.auto.ru/all/images/54/e6/60x45/54e6cf67.jpg |  ВАЗ 21099 210991.5 MT (70 л.с.)  | #9c9999 | 40 000 |  1997  |  100 000 км  |  1.5 MT (70 л.с.)седан, бензин, передний  | Смоленск | 23.01.15
1007298141-cb0298 | http://is12.auto.ru/all/images/a6/77/60x45/a677401a.jpg |  ВАЗ 21099 210991.5 MT (70 л.с.)  | #ffefd5 | 50 000 |  2000  |  31 000 км  |  1.5 MT (70 л.с.)седан, бензин, передний  | Новомосковск | 23.01.15
1007188855-c67ef | http://is12.auto.ru/all/images/8c/49/60x45/8c49903f.jpg |  ВАЗ 21099 210991.5 MT (70 л.с.)  | #000000 | 43 000 |  1997  |  190 000 км  |  1.5 MT (70 л.с.)седан, бензин, передний  | Грибановский | 23.01.15
1007283341-cf708 | http://is5.auto.ru/all/images/c2/32/60x45/c2320a45.jpg |  ВАЗ 21099 21099-201.5 MT (78 л.с.)  | #000000 | 120 000 |  2004  |  87 000 км  |  1.5 MT (78 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007258389-ff414f | http://is2.auto.ru/all/images/8c/e4/60x45/8ce47491.jpg |  ВАЗ 21099 210991.5 MT (70 л.с.)  | #34ba2b | 110 000 |  1999  |  270 000 км  |  1.5 MT (70 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007298251-6678 | http://is17.auto.ru/all/images/2a/9a/60x45/2a9a1fa9.jpg |  ВАЗ 21099 210991.5 MT (70 л.с.)  | #000000 | 105 000 |  2004  |  113 000 км  |  1.5 MT (70 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007297411-dde77 | http://is1.auto.ru/all/images/04/64/60x45/0464c303.jpg |  ВАЗ 21099 21099-201.5 MT (78 л.с.)  | #0088ff | 75 000 |  2002  |  200 000 км  |  1.5 MT (78 л.с.)седан, бензин, передний  | Чебоксары | 23.01.15
1007295467-e107 | http://is11.auto.ru/all/images/68/50/60x45/685032b4.jpg |  ВАЗ 21099 21099-201.5 MT (78 л.с.)  | #CACECB | 70 000 |  2004  |  170 000 км  |  1.5 MT (78 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007296229-e9c6a5 | http://is11.auto.ru/all/images/77/8d/60x45/778d3243.jpg |  ВАЗ 21099 210991.5 MT (70 л.с.)  | #FF0000 | 49 777 |  1997  |  120 000 км  |  1.5 MT (70 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1006213515-b69e | http://is16.auto.ru/all/images/50/26/60x45/5026ad2e.jpg |  ВАЗ 21099 21099-201.5 MT (78 л.с.)  | #34ba2b | 105 000 |  2004  |  119 000 км  |  1.5 MT (78 л.с.)седан, бензин, передний  | Белгород | 23.01.15
1006985919-aaf3da | http://is10.auto.ru/all/images/72/ad/60x45/72adf781.jpg |  ВАЗ 21099 210991.5 MT (70 л.с.)  | #CACECB | 60 000 |  1999  |  99 000 км  |  1.5 MT (70 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1006863531-c82f86 | http://is18.auto.ru/all/images/02/51/60x45/0251e984.jpg |  ВАЗ 21099 210991.5 MT (70 л.с.)  | #9c9999 | 85 000 |  2002  |  120 000 км  |  1.5 MT (70 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006931675-d9134 | http://is4.auto.ru/all/images/ec/64/60x45/ec648eb7.jpg |  ВАЗ 21099 210991.5 MT (70 л.с.)  | #34ba2b | 85 000 |  1997  |  63 000 км  |  1.5 MT (70 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006315351-113533 | http://is2.auto.ru/all/images/5b/aa/60x45/5baa44b5.jpg |  ВАЗ 21099 210991.5 MT (70 л.с.)  | #FF0000 | 80 000 |  1996  |  137 000 км  |  1.5 MT (70 л.с.)седан, бензин, передний  | Клинцы | 23.01.15
